sample_id,target_setting,seed,split,label,domain,text_source,text_length_chars,event_clean_mask,source_sparse_top2,event_semantic_rank,plm_deberta_rank,event_reliability_lr_bal_c0p03,peer_mermaid_moe,peer_mermaid_moe_seedlogitmean
gossipcop_gossipcop-1012123555,target_coaid,20260425,val,1,gossipcop,title_only,82,1.0,0.7300425129900803,0.360651865847898,0.3190836088804912,0.3684459140292867,0.4293811998110534,0.4393008974964572
gossipcop_gossipcop-1014636162,target_coaid,20260425,val,1,gossipcop,title_only,44,1.0,0.7671232876712328,0.8344355219650449,0.8745866792631082,0.850968351440718,0.6362777515351913,0.7319319792158715
gossipcop_gossipcop-1036952493,target_coaid,20260425,val,1,gossipcop,title_only,31,1.0,0.85592820028342,0.8904109589041096,0.6539914974019839,0.8828530940009447,0.8448275862068966,0.8181388757675957
gossipcop_gossipcop-10448753,target_coaid,20260425,val,1,gossipcop,title_only,75,1.0,0.918044402456306,0.8145961265942371,0.7033538025507794,0.7735002361832782,0.9187529522909778,0.915682569674067
gossipcop_gossipcop-1052490641,target_coaid,20260425,val,1,gossipcop,title_only,61,1.0,0.632262635805385,0.7713745866792631,0.7189418989135569,0.8004251299008031,0.6828058573453,0.737836561171469
gossipcop_gossipcop-1053862865,target_coaid,20260425,val,1,gossipcop,title_only,59,1.0,0.8731695795937647,0.7538970240906944,0.7132735002361833,0.7272083136513935,0.8523854511100614,0.8462446858762399
gossipcop_gossipcop-1063768757,target_coaid,20260425,val,1,gossipcop,title_only,64,1.0,0.7128011336797355,0.6195087387812943,0.6405290505432215,0.547945205479452,0.2468115257439773,0.2640529050543221
gossipcop_gossipcop-109358738,target_coaid,20260425,val,1,gossipcop,title_only,54,1.0,0.8538025507794048,0.8804912612187057,0.83656117146906,0.8027869626830421,0.7182333490788853,0.761927255550307
gossipcop_gossipcop-1112019542,target_coaid,20260425,val,1,gossipcop,title_only,49,1.0,0.5170051960321209,0.8280585734529995,0.9010392064241852,0.9107227208313652,0.6355692017005196,0.6924893717524799
gossipcop_gossipcop-1122776662,target_coaid,20260425,val,1,gossipcop,title_only,34,1.0,0.6062824752007557,0.5018894662257912,0.5186584789796882,0.4910250354274917,0.7586206896551724,0.7919225318847426
gossipcop_gossipcop-1151972925,target_coaid,20260425,val,1,gossipcop,title_only,57,1.0,0.4282002834199339,0.8771846953235711,0.7971185640056684,0.8821445441662731,0.8358526216343883,0.8360888049126122
gossipcop_gossipcop-1156925967,target_coaid,20260425,val,1,gossipcop,title_only,83,1.0,0.7895606991025036,0.899149740198394,0.7227208313651393,0.9074161549362304,0.3781294284364667,0.3708077468115257
gossipcop_gossipcop-1177821751,target_coaid,20260425,val,1,gossipcop,title_only,63,1.0,0.7487009919697686,0.942371280113368,0.7912139820500709,0.9289088332546056,0.8438828530940009,0.8483703353802551
gossipcop_gossipcop-1227116639,target_coaid,20260425,val,1,gossipcop,title_only,34,1.0,0.4440245630609353,0.6532829475673122,0.8247520075578649,0.7442135096835144,0.911195087387813,0.9126121870571564
gossipcop_gossipcop-1239121151,target_coaid,20260425,val,1,gossipcop,title_only,94,1.0,0.8998582900330656,0.920642418516769,0.8235710911667454,0.8693906471421823,0.8946622579121398,0.8944260746339159
gossipcop_gossipcop-1242871756,target_coaid,20260425,val,1,gossipcop,title_only,35,1.0,0.5703826169107227,0.9289088332546056,0.8540387340576288,0.9378837978271138,0.815068493150685,0.8549834671705243
gossipcop_gossipcop-1297626508,target_coaid,20260425,val,1,gossipcop,title_only,83,1.0,0.913556920170052,0.387104393008975,0.682569674067076,0.3786017949929145,0.2687765706188001,0.2827113840340104
gossipcop_gossipcop-1315164180,target_coaid,20260425,val,1,gossipcop,title_only,75,1.0,0.4194615021256495,0.3880491261218706,0.6988663202645252,0.5271610769957487,0.8349078885214927,0.8247520075578649
gossipcop_gossipcop-1336256939,target_coaid,20260425,val,1,gossipcop,title_only,88,1.0,0.7411431270666037,0.9532357109116676,0.8422295701464336,0.9579593764761456,0.7957014643363249,0.8497874350495985
gossipcop_gossipcop-1360722071,target_coaid,20260425,val,1,gossipcop,title_only,13,1.0,0.6662730278696268,0.872461029759093,0.8098724610297591,0.8431743032593293,0.7035899858290033,0.7111478507321681
gossipcop_gossipcop-138407761,target_coaid,20260425,val,1,gossipcop,title_only,106,1.0,0.4029286726499764,0.8816721776098252,0.8396315540859707,0.9307982994803968,0.6294284364666981,0.7442135096835144
gossipcop_gossipcop-1394099574,target_coaid,20260425,val,1,gossipcop,title_only,93,1.0,0.738072744449693,0.96669815777043,0.8738781294284365,0.94189891355692,0.9041095890410958,0.8946622579121398
gossipcop_gossipcop-1413413611,target_coaid,20260425,val,1,gossipcop,title_only,43,1.0,0.8963155408597071,0.7106754841757204,0.6877657061880019,0.6856400566839868,0.6334435521965045,0.6594237128011337
gossipcop_gossipcop-1414621205,target_coaid,20260425,val,1,gossipcop,title_only,60,1.0,0.6239962210675484,0.2487009919697685,0.6844591402928673,0.2879074161549362,0.2449220595181861,0.2217760982522437
gossipcop_gossipcop-1433840923,target_coaid,20260425,val,1,gossipcop,title_only,43,1.0,0.742796410014171,0.7442135096835144,0.8660840812470477,0.7772791686348607,0.8722248464808692,0.8830892772791686
gossipcop_gossipcop-1452761710,target_coaid,20260425,val,1,gossipcop,title_only,131,1.0,0.5640056683986774,0.9225318847425602,0.8467170524326878,0.937175247992442,0.3325460557392536,0.3110533774208786
gossipcop_gossipcop-1463233478,target_coaid,20260425,val,1,gossipcop,title_only,21,1.0,0.9187529522909778,0.8136513934813415,0.9218233349078884,0.8063297118564006,0.6624940954180444,0.7227208313651393
gossipcop_gossipcop-1509983640,target_coaid,20260425,val,1,gossipcop,title_only,86,1.0,0.0635333018422295,0.0108644307982994,0.1284837033538025,0.0328294756731223,0.149031648559282,0.149031648559282
gossipcop_gossipcop-1525600180,target_coaid,20260425,val,1,gossipcop,title_only,86,1.0,0.6301369863013698,0.2959376476145489,0.7659423712801133,0.2820028341993387,0.3049126121870572,0.3859234766178555
gossipcop_gossipcop-1527288531,target_coaid,20260425,val,1,gossipcop,title_only,61,1.0,0.9307982994803968,0.9702409069437884,0.920642418516769,0.9914974019839397,0.9298535663675012,0.9319792158715164
gossipcop_gossipcop-1539005641,target_coaid,20260425,val,1,gossipcop,title_only,85,1.0,0.3086915446386395,0.5061407652338215,0.3620689655172414,0.6258856872933396,0.427727916863486,0.5836088804912613
gossipcop_gossipcop-1550146636,target_coaid,20260425,val,1,gossipcop,title_only,46,1.0,0.9409541804440246,0.7678318375059046,0.906235238545111,0.7990080302314596,0.9173358526216344,0.910958904109589
gossipcop_gossipcop-1555796015,target_coaid,20260425,val,1,gossipcop,title_only,99,1.0,0.8646669815777043,0.7987718469532357,0.8183750590458195,0.8205007085498347,0.8323098724610297,0.8372697213037317
gossipcop_gossipcop-1558798692,target_coaid,20260425,val,1,gossipcop,title_only,65,1.0,0.8282947567312234,0.5394426074633916,0.2529522909777987,0.5562116202172886,0.3842701936702881,0.3686820973075106
gossipcop_gossipcop-1566205040,target_coaid,20260425,val,1,gossipcop,title_only,68,1.0,0.9624468587623995,0.958904109589041,0.9286726499763815,0.9272555503070382,0.9211147850732168,0.9241851676901276
gossipcop_gossipcop-1581337290,target_coaid,20260425,val,1,gossipcop,title_only,86,1.0,0.9123760037789324,0.987954652810581,0.8904109589041096,0.9910250354274918,0.922768068020784,0.9149740198393954
gossipcop_gossipcop-1589096459,target_coaid,20260425,val,1,gossipcop,title_only,86,1.0,0.8313651393481342,0.8129428436466698,0.8611242324043458,0.821917808219178,0.8868682097307511,0.8913556920170052
gossipcop_gossipcop-162455960,target_coaid,20260425,val,1,gossipcop,title_only,68,1.0,0.8597071327350023,0.975909305621162,0.8741143127066604,0.9449692961738309,0.8538025507794048,0.8323098724610297
gossipcop_gossipcop-1655879516,target_coaid,20260425,val,1,gossipcop,title_only,60,1.0,0.4718941898913557,0.7897968823807274,0.7470477090222012,0.8632498819083609,0.8171941426547,0.810108644307983
gossipcop_gossipcop-1674483293,target_coaid,20260425,val,1,gossipcop,title_only,61,1.0,0.961738308927728,0.8020784128483703,0.7942843646669816,0.7614548889938593,0.867737364194615,0.8736419461502125
gossipcop_gossipcop-1679060929,target_coaid,20260425,val,1,gossipcop,title_only,54,1.0,0.6797354747283892,0.9076523382144543,0.9244213509683514,0.9331601322626358,0.7364194615021257,0.8086915446386396
gossipcop_gossipcop-1680893129,target_coaid,20260425,val,1,gossipcop,title_only,92,1.0,0.9213509683514408,0.997638167217761,0.9123760037789324,0.9981105337742088,0.9237128011336796,0.9213509683514408
gossipcop_gossipcop-1732429292,target_coaid,20260425,val,1,gossipcop,title_only,70,1.0,0.5779404818138876,0.9586679263108172,0.9128483703353802,0.9728389230042512,0.9019839395370808,0.8967879074161549
gossipcop_gossipcop-1761311625,target_coaid,20260425,val,1,gossipcop,title_only,74,1.0,0.7777515351913085,0.0222012281530467,0.1242324043457723,0.0547945205479452,0.0963627775153519,0.0980160604629192
gossipcop_gossipcop-1770549032,target_coaid,20260425,val,1,gossipcop,title_only,116,1.0,0.915918752952291,0.9983467170524328,0.908833254605574,0.9983467170524328,0.9629192253188474,0.9397732640529052
gossipcop_gossipcop-1818759378,target_coaid,20260425,val,1,gossipcop,title_only,57,1.0,0.8469532357109116,0.8318375059045819,0.8325460557392537,0.7550779404818139,0.5807746811525744,0.5564478034955125
gossipcop_gossipcop-1823945424,target_coaid,20260425,val,1,gossipcop,title_only,91,1.0,0.387104393008975,0.5035427491733585,0.6568256967406707,0.5399149740198393,0.4428436466698158,0.5
gossipcop_gossipcop-1832654937,target_coaid,20260425,val,1,gossipcop,title_only,72,1.0,0.4563060935285781,0.9043457723193198,0.9142654700047236,0.9487482286254132,0.8634860651865848,0.8696268304204062
gossipcop_gossipcop-1836357490,target_coaid,20260425,val,1,gossipcop,title_only,41,1.0,0.5538497874350496,0.6993386868209731,0.6138403401039206,0.6400566839867737,0.7302786962683042,0.7602739726027398
gossipcop_gossipcop-1843695308,target_coaid,20260425,val,1,gossipcop,title_only,54,1.0,0.9166273027869628,0.8925366084081247,0.9024563060935286,0.8356164383561644,0.9168634860651866,0.918516769012754
gossipcop_gossipcop-1849541375,target_coaid,20260425,val,1,gossipcop,title_only,78,1.0,0.8112895606991025,0.9766178554558336,0.8967879074161549,0.9671705243268776,0.8767123287671232,0.8847425602267359
gossipcop_gossipcop-190525100,target_coaid,20260425,val,1,gossipcop,title_only,84,1.0,0.4064714218233349,0.4785073216816249,0.8112895606991025,0.5092111478507322,0.5269248937175248,0.6289560699102503
gossipcop_gossipcop-1934036410,target_coaid,20260425,val,1,gossipcop,title_only,56,1.0,0.2302786962683042,0.5278696268304204,0.6861124232404345,0.5392064241851677,0.2156353330184223,0.2512990080302315
gossipcop_gossipcop-1949526577,target_coaid,20260425,val,1,gossipcop,title_only,66,1.0,0.5148795465281059,0.6724137931034483,0.8564005668398678,0.7602739726027398,0.8885214926783184,0.8892300425129901
gossipcop_gossipcop-1949850843,target_coaid,20260425,val,1,gossipcop,title_only,70,1.0,0.8008974964572508,0.7841284837033538,0.8042040623523854,0.7390174775625886,0.8294756731223429,0.8238072744449693
gossipcop_gossipcop-1951916011,target_coaid,20260425,val,1,gossipcop,title_only,70,1.0,0.6376948512045347,0.766887104393009,0.776570618800189,0.718705715635333,0.3613604156825696,0.3731695795937648
gossipcop_gossipcop-1957482622,target_coaid,20260425,val,1,gossipcop,title_only,55,1.0,0.9702409069437884,0.7503542749173359,0.9215871516296646,0.8060935285781766,0.4848842701936703,0.5172413793103449
gossipcop_gossipcop-1959268734,target_coaid,20260425,val,1,gossipcop,title_only,84,1.0,0.526452527161077,0.4185167690127539,0.5014170996693434,0.5349551251771375,0.4617383089277279,0.485592820028342
